Date,BHEL,HINDALCO,PNB,SBIN,VEDL,TATASTEEL,MRPL,ONGC,GLOBUSSPR
2000-01-03,0.472,1.9224,,0.0958,0.00021,30.8562,14.87,0.0217,
2000-01-04,0.453,1.9953,,0.1019,0.0002,30.5222,15.18,0.021,
2000-01-05,0.446,2.1549,,0.0977,0.0002,31.686,14.92,0.0226,
2000-01-06,0.478,2.3235,,0.1027,0.00021,34.0541,15.22,0.0222,
2000-01-07,0.457,2.4266,,0.1075,0.00021,34.8031,15.22,0.0219,
2000-01-10,0.464,2.2669,,0.106,0.00021,36.8876,15.71,0.0213,
2000-01-11,0.446,2.2012,,0.0975,0.0002,33.9428,14.96,0.0198,
2000-01-12,0.463,2.1527,,0.0963,0.0002,33.457,15.05,0.0205,
2000-01-13,0.439,2.1626,,0.0962,0.0002,32.2223,15.22,0.0202,
2000-01-14,0.446,2.0923,,0.0941,0.0002,32.1212,15.22,0.0197,
2000-01-17,0.444,2.0491,,0.0928,0.0002,33.7606,14.7,0.0198,
2000-01-18,0.445,2.0266,,0.093,0.0002,34.9749,14.48,0.0189,
2000-01-19,0.471,2.0588,,0.096,0.00021,34.9852,14.52,0.0195,
2000-01-20,0.455,2.0892,,0.0935,0.00021,33.0117,14.0,0.0195,
2000-01-21,0.452,2.0184,,0.0934,0.0002,32.87,14.04,0.0194,
2000-01-24,0.4370000000000001,1.9513,,0.0898,0.0002,30.593000000000004,13.73,0.0195,
2000-01-25,0.4270000000000001,1.8507,,0.0884,0.00019,30.0465,13.65,0.0192,
2000-01-27,0.42,1.8923,,0.0905,0.00019,30.0162,13.6,0.0207,
2000-01-28,0.401,1.8614,,0.0977,0.00019,29.2471,13.56,0.0208,
2000-01-31,0.369,1.7125,,0.0962,0.00017,28.2047,12.99,0.0213,
2000-02-01,0.388,1.7357,,0.097,0.00017,28.4374,12.86,0.0218,
2000-02-02,0.404,1.8745,,0.0973,0.00018,28.5488,12.86,0.0218,
2000-02-03,0.415,1.9355,,0.1018,0.00018,28.3362,12.72,0.0213,
2000-02-04,0.391,1.8461,,0.1007,0.00017,28.3565,12.64,0.0215,
2000-02-07,0.388,1.8216,,0.0973,0.00017,28.1338,12.46,0.022,
2000-02-08,0.389,1.7226,,0.0953,0.00016,28.5589,12.2,0.0213,
2000-02-09,0.398,1.7956,,0.0965,0.00016,29.2268,11.89,0.0216,
2000-02-10,0.387,1.8495,,0.0979,0.00016,28.7107,11.98,0.021,
2000-02-11,0.376,1.927,,0.0984,0.00016,28.3767,11.98,0.0194,
2000-02-14,0.35700000000000004,1.9094,,0.1049,0.00015,27.2534,11.89,0.0192,
2000-02-15,0.332,1.8574,,0.0999,0.00015,26.6664,11.76,0.018000000000000002,
2000-02-16,0.332,1.8509,,0.0983,0.00015,27.3951,11.93,0.0189,
2000-02-17,0.331,1.8275,,0.0983,0.00015,27.4963,12.37,0.0189,
2000-02-18,0.305,1.7656,,0.0948,0.00014,26.9599,12.64,0.0186,
2000-02-21,0.329,1.7693,,0.0961,0.00014,26.9498,12.81,0.0182,
2000-02-22,0.313,1.7501,,0.0933,0.00013000000000000002,26.5652,12.33,0.0178,
2000-02-23,0.313,1.7293,,0.0921,0.00013000000000000002,26.0592,12.24,0.0178,
2000-02-24,0.317,1.7235,,0.0957,0.00013000000000000002,26.0896,12.2,0.0174,
2000-02-25,0.307,1.6926,,0.0948,0.00012,26.0086,11.8,0.0166,
2000-02-28,0.328,1.7508,,0.0965,0.00013000000000000002,26.464,13.16,0.0179,
2000-02-29,0.306,1.6777,,0.09,0.00012,24.3995,12.11,0.017,
2000-03-01,0.3,1.6109,,0.0929,0.00013000000000000002,23.428,12.86,0.0175,
2000-03-02,0.276,1.5907,,0.0889,0.00012,23.3369,12.24,0.0163,
2000-03-03,0.258,1.5094,,0.0819,0.00011,21.5457,11.8,0.0158,
2000-03-06,0.279,1.4864,,0.0834,0.00012,20.817,11.14,0.016,
2000-03-07,0.262,1.3675,,0.0816,0.00011,19.6633,10.4,0.0153,
2000-03-08,0.279,1.3327,,0.0753,0.00011,18.4489,10.27,0.015,
2000-03-09,0.278,1.4352,,0.0704,0.00011,19.4407,10.27,0.0156,
2000-03-10,0.26,1.4241,,0.067,0.00011,18.6007,10.66,0.0147,
2000-03-13,0.258,1.4008,,0.0646,0.0001,18.287,10.35,0.0143,
2000-03-14,0.263,1.3576,,0.0698,0.00011,19.7544,10.31,0.0146,
2000-03-15,0.265,1.4603,,0.0734,0.00012,21.3432,11.01,0.0155,
2000-03-16,0.259,1.5522,,0.0785,0.00012,22.0719,10.75,0.0151,
2000-03-21,0.277,1.501,,0.0837,0.00012,21.9606,10.27,0.0141,
2000-03-22,0.292,1.4806,,0.0834,0.00011,22.1731,,0.0146,
2000-03-23,0.277,1.5369,,0.0788,0.00011,21.1004,,0.0146,
2000-03-24,0.277,1.6417,,0.0776,0.00011,21.4242,,0.0147,
2000-03-27,0.277,1.6484,,0.076,0.00011,21.0498,,0.0141,
2000-03-28,0.287,1.64,,0.0788,0.00011,21.5254,,0.014,
2000-03-29,0.279,1.5935,,0.0777,0.00011,21.2218,,0.0139,
2000-03-30,0.264,1.6217,,0.0789,0.00011,21.9707,,0.0137,
2000-03-31,0.265,1.6339,,0.0805,0.00011,23.3066,,0.0138,
2000-04-03,0.279,1.5561,,0.0839,0.00012,24.8246,,0.0136,
2000-04-04,0.257,1.4564,,0.0772,0.00011,23.1042,,0.0132,
2000-04-05,0.257,1.4793,,0.0772,0.00011,23.934,,0.0134,
2000-04-06,0.248,1.6892,,0.0802,0.00011,24.7366,,0.0128,
2000-04-07,0.259,1.8144,,0.0858,0.00011,26.4651,,0.0134,
2000-04-10,0.264,1.8064,,0.087,0.00012,25.8961,,0.0135,
2000-04-11,0.259,1.9479,,0.0868,0.00011,25.1553,,0.013,
2000-04-12,0.261,1.9096,,0.0857,0.00011,25.0587,,0.0132,
2000-04-13,0.253,1.8537,,0.0806,0.00152,24.0924,,0.013,
2000-04-17,0.247,1.7167,,0.0891,0.00153,24.5648,,0.0119,
2000-04-18,0.234,1.6576,,0.0908,0.00152,24.9084,,0.0111,
2000-04-19,0.21600000000000005,1.6529,,0.0916,0.00148,24.8976,,0.0102,
2000-04-20,0.204,1.6669999999999998,,0.0919,0.0014199999999999998,24.9298,,0.0105,
2000-04-24,0.19,1.6591,,0.0909,0.0014199999999999998,24.0387,,0.0166,
2000-04-25,0.194,1.7055,,0.0907,0.00135,23.4482,,0.0165,
2000-04-26,0.21,1.7318,,0.0972,0.00143,24.801,,0.0172,
2000-04-27,0.21600000000000005,1.7145,,0.0934,0.0014,23.9099,,0.0169,
2000-04-28,0.213,1.723,,0.0933,0.00135,23.212,,0.017,
2000-05-02,0.21600000000000005,1.7192,,0.0884,0.00127,21.9022,,0.0167,
2000-05-03,0.218,1.7519999999999998,,0.0888,0.00128,22.1276,,0.0168,
2000-05-04,0.264,1.7796,,0.0918,0.0013,22.6323,,0.0172,
2000-05-05,0.27,1.9564,,0.091,0.00129,23.0081,,0.0169,
2000-05-08,0.275,1.8943,,0.0896,0.0013,22.804,,0.0159,
2000-05-09,0.276,1.8496,,0.0891,0.00128,22.4605,,0.0156,
2000-05-10,0.276,1.8056,,0.0893,0.00129,22.3746,,0.0163,
2000-05-11,0.265,1.7725,,0.0856,0.00127,22.0418,,0.0161,
2000-05-12,0.25,1.7909,,0.0845,0.00122,21.5264,,0.0163,
2000-05-15,0.253,1.8195,,0.0852,0.00125,21.8807,,0.0162,
2000-05-16,0.263,1.8149,,0.085,0.00121,21.9451,,0.0164,
2000-05-17,0.264,1.7997,,0.0859,0.00125,22.5678,,0.0177,
2000-05-18,0.248,1.8021,,0.0833,0.00119,23.9314,,0.018000000000000002,
2000-05-19,0.25,1.8149,,0.0837,0.00112,24.3715,,0.0178,
2000-05-22,0.248,1.8031,,0.0826,0.00112,24.5648,,0.0178,
2000-05-23,0.248,1.7681,,0.0815,0.00113,24.7903,,0.0178,
2000-05-24,0.257,1.731,,0.0816,0.00116,25.3915,,0.0182,
2000-05-25,0.265,1.7298,,0.0833,0.0012,24.5756,,0.0189,
2000-05-26,0.289,1.7316,,0.0848,0.00123,24.4575,,0.0191,
2000-05-29,0.307,1.7655,,0.087,0.0013,24.9084,,0.0193,
2000-05-30,0.32,1.7646,,0.0897,0.0013,25.0265,,0.0198,
2000-05-31,0.3,1.7573,,0.0921,0.00131,26.2397,,0.0199,
2000-06-01,0.294,1.7418,,0.09,0.00132,25.6062,,0.0193,
2000-06-02,0.289,1.7853,,0.0913,0.0013,28.6876,,0.0194,
2000-06-05,0.29100000000000004,1.8198,,0.093,0.00137,27.979,,0.0197,
2000-06-06,0.301,1.8536,,0.0944,0.0014199999999999998,28.7627,,0.0193,
2000-06-07,0.307,1.9159,,0.0943,0.0014,28.0434,,0.0196,
2000-06-08,0.322,1.9243,,0.0995,0.00139,28.5909,,0.0201,
2000-06-09,0.319,1.9999,,0.1007,0.00135,28.4836,,0.0201,
2000-06-12,0.315,2.1083,,0.0986,0.0014,27.732,,0.0203,
2000-06-13,0.326,2.0207,,0.0984,0.0014199999999999998,27.002,,0.02,
2000-06-14,0.331,2.0415,,0.0997,0.00148,27.5495,,0.0203,
2000-06-15,0.325,2.0689,,0.1008,0.00146,27.3026,,0.0199,
2000-06-16,0.32,2.0813,,0.1055,0.00145,27.9897,,0.02,
2000-06-19,0.331,2.07,,0.1045,0.00146,27.6891,,0.02,
2000-06-20,0.333,2.0626,,0.1072,0.0014,27.3455,,0.0199,
2000-06-21,0.336,2.0084,,0.1018,0.00143,26.5081,,0.0207,
2000-06-22,0.344,1.9637,,0.1041,0.00148,26.7872,,0.0223,
2000-06-23,0.32299999999999995,1.9198,,0.1069,0.00145,26.4866,,0.024,
2000-06-26,0.313,1.9196,,0.1029,0.00141,26.1538,,0.0237,
