Date,Open,High,Low,Close,Volume,Adj Close
2009-09-23,101.0,111.7,89.5,90.0,13142800,86.48
2009-09-24,89.8,95.45,86.3,92.35,4907600,88.73
2009-09-25,92.9,94.2,91.0,91.35,933800,87.77
2009-09-29,92.0,93.2,88.1,88.85,563600,85.37
2009-09-30,89.0,89.0,85.55,85.9,399800,82.54
2009-10-01,86.0,89.8,82.55,85.85,1004500,82.49
2009-10-05,85.0,93.5,83.7,88.9,2207600,85.42
2009-10-06,90.25,90.25,85.0,86.05,366100,82.68
2009-10-07,87.3,88.4,84.55,85.45,234800,82.1
2009-10-08,86.2,86.7,81.95,83.45,213200,80.18
2009-10-09,85.0,85.95,81.0,81.4,247300,78.21
2009-10-12,82.0,82.95,80.1,80.4,186100,77.25
2009-10-14,81.0,82.0,78.0,78.2,224900,75.14
2009-10-15,78.8,79.4,77.2,77.5,176200,74.47
2009-10-16,78.0,78.0,75.25,75.5,126900,72.54
2009-10-20,75.9,90.25,75.65,87.9,3845700,84.46
2009-10-21,88.9,89.0,84.5,84.95,826000,81.62
2009-10-22,84.9,95.8,83.45,85.8,2663900,82.44
2009-10-23,87.4,93.4,87.1,89.25,1301600,85.75
2009-10-26,92.2,92.2,85.7,86.5,454400,83.11
2009-10-27,86.0,86.5,81.35,81.95,245700,78.74
2009-10-28,81.15,83.5,81.0,81.5,170700,78.31
2009-10-29,80.7,80.8,78.5,79.35,181500,76.24
2009-10-30,81.05,83.85,77.5,78.65,201500,75.57
2009-11-03,78.55,79.5,76.0,76.2,124100,73.22
2009-11-04,77.7,79.5,75.05,78.4,185200,75.33
2009-11-05,78.4,78.9,76.4,77.15,108700,74.13
2009-11-06,78.05,83.9,77.95,80.6,303200,77.44
2009-11-09,81.6,83.5,81.05,82.6,114100,79.37
2009-11-10,83.9,84.45,80.0,80.45,149500,77.3
2009-11-11,80.1,82.6,79.5,81.2,133600,78.02
2009-11-12,81.4,91.8,80.95,88.7,947200,85.23
2009-11-13,89.2,90.0,85.0,85.6,228500,82.25
2009-11-16,85.85,88.8,84.0,85.55,95200,82.2
2009-11-17,86.4,86.45,83.1,84.0,102400,80.71
2009-11-18,83.1,89.0,83.1,85.25,203300,81.91
2009-11-19,85.3,85.9,83.0,83.55,88200,80.28
2009-11-20,82.7,85.0,82.7,83.35,72400,80.09
2009-11-23,83.95,84.65,83.25,84.0,77000,80.71
2009-11-24,83.95,94.0,83.5,89.75,2112100,86.24
2009-11-25,90.0,93.0,84.85,88.15,992800,84.7
2009-11-26,88.15,92.5,86.0,86.9,643100,83.5
2009-11-27,84.5,86.75,83.5,85.3,295300,81.96
